DepthOrig;DepthCorr;DepthAdj;Al;Si;Ca;Ti;K;Zr;
200.107;200.287;62.218;-0.707166085;-0.780616157;-0.628631923;-0.231494899;;;
200.108;200.288;62.219;-0.820102169;-0.358117954;-0.864759005;0.331552125;;;
200.109;200.289;62.22;-0.23197543;-0.028242761;0.079338858;0.404879179;;;
;200.2895;62.221;-0.157452828;-0.10016417;-0.06997227;0.394403886;;;
200.11;200.29;62.222;-0.082930234;-0.172085578;-0.219283398;0.383928592;;;
200.111;200.291;62.223;0.515577315;-0.270462283;0.248712072;0.518361525;;;
200.112;200.292;62.224;0.753396362;0.463326207;-0.10701785;1.244648539;;;
200.113;200.293;62.225;-0.015052243;0.040133374;-0.423136707;0.869283856;;;
200.114;200.294;62.226;0.479289219;0.487769679;-0.066534525;1.304881476;;;
200.115;200.295;62.227;-1.020111794;-0.465197323;-0.678915396;0.23465566;;;
200.116;200.296;62.228;-0.64443376;-0.770248969;-0.905960672;0.149980371;;;
200.118;200.298;62.229;-1.100115641;-0.75049763;-0.770092673;0.151726253;;;
200.119;200.299;62.23;0.435976172;-0.622565955;-0.412720845;0.388293298;;;
200.12;200.3;62.231;-0.037066726;-0.637258258;-0.209842424;0.102841551;;;
200.121;200.301;62.232;-0.102125785;-0.221260843;-0.075308474;0.194500368;;;
;200.3015;62.233;-0.01912403;-0.400215758;-0.329419598;0.108079197;;;
200.122;200.302;62.234;0.063877725;-0.579170645;-0.583530722;0.021658026;;;
200.123;200.303;62.235;-0.409881084;-0.639853327;-0.371313942;0.146488607;;;
200.124;200.304;62.236;-0.741172192;-0.5968905;-0.082902306;0.008563909;;;
200.125;200.305;62.237;0.166432998;-0.146947505;-0.547203477;0.525345054;;;
200.126;200.306;62.238;-0.223339674;0.210057983;-0.628272755;0.57684858;;;
200.127;200.307;62.239;-0.048387184;0.607273895;-0.485888427;1.009827377;;;
200.128;200.308;62.24;0.246034141;0.106556663;-0.45320417;0.596053285;;;
200.13;200.31;62.241;0.749190343;0.132087957;0.195965728;0.767149745;;;
200.131;200.311;62.242;0.741896929;-0.185899743;0.110227278;0.302745068;;;
200.132;200.312;62.243;-1.252069265;-0.271327306;-0.423906353;-0.221892547;;;
200.133;200.313;62.244;-0.647655396;-0.538553884;-0.656954858;-0.268158426;;;
;200.3135;62.245;-0.513040417;-0.469751782;-0.610519608;0.072288611;;;
200.134;200.314;62.246;-0.378425438;-0.400949708;-0.564084357;0.412735649;;;
200.135;200.315;62.247;-0.484023355;-0.131324656;-0.263820188;0.135140372;;;
200.136;200.316;62.248;0.549180718;0.574691372;0.060354283;0.797702684;;;
200.137;200.317;62.249;1.355796714;1.680583933;-0.047190782;1.271709714;;;
200.138;200.318;62.25;1.297717854;1.880286284;0.266259977;1.447170879;;;
200.139;200.319;62.251;1.517817933;1.490082282;0.366519067;1.586841459;;;
200.14;200.32;62.252;0.548464808;0.566198419;0.073438251;0.877140326;;;
200.142;200.322;62.253;0.91819177;0.229127807;0.277086318;0.829128565;;;
200.143;200.323;62.254;0.671960677;0.03525779;0.532967621;0.531455642;;;
200.144;200.324;62.255;-1.428945784;-0.853828557;0.701365946;-0.439254886;;;
;200.3245;62.256;-1.715424891;-1.088492244;0.976770584;-0.601621935;;;
200.145;200.325;62.257;-2.001903999;-1.323155931;1.252175221;-0.763988984;;;
200.146;200.326;62.258;0.190282023;-0.829647233;0.883669196;-0.025480794;;;
200.147;200.327;62.259;-1.798583258;-1.149941651;0.871662731;-0.619080758;;;
200.148;200.328;62.26;-1.061635043;-1.276601967;0.48427475;-0.771845454;;;
200.149;200.329;62.261;-0.965970481;-1.102679941;0.536507987;-0.925483092;;;
200.15;200.33;62.262;-1.61580041;-1.704788342;-0.053450557;-1.557492464;;;
200.151;200.331;62.263;-2.487028017;-2.626666923;-0.866760086;-2.916661792;;;
200.153;200.333;62.264;-1.048524788;-2.207537086;-0.393838883;-2.087367726;;;
200.154;200.334;62.265;-1.928298672;-1.366446399;-0.626887395;-1.28164307;;;
200.155;200.335;62.266;-0.488945292;-1.101067852;-0.515904587;-1.013650145;;;
200.156;200.336;62.267;-1.109735788;-1.337559883;-0.660033435;-1.643913636;;;
;200.3365;62.268;-1.236654649;-1.113643461;-0.62421929;-1.593719521;;;
200.157;200.337;62.269;-1.36357351;-0.889727011;-0.588405144;-1.543525406;;;
200.158;200.338;62.27;-0.663674063;-1.167333836;-1.226697399;-1.31306895;;;
200.159;200.339;62.271;-0.215285596;0.036489802;-1.073845898;-0.281252543;;;
200.16;200.34;62.272;-0.210542634;-0.305561264;-0.900932325;-0.667965461;;;
200.161;200.341;62.273;-1.595038782;-1.485701612;-0.937413495;-1.470198352;;;
200.162;200.342;62.274;-0.416995523;-1.005063389;-1.176003447;-1.05642426;;;
200.163;200.343;62.275;-0.047313305;-0.748584076;-1.178979402;-0.741292515;;;
200.165;200.345;62.276;-0.555659917;-0.667350554;-0.690511376;-0.523930175;;;
200.166;200.346;62.277;1.134578013;-0.55958967;-0.358486527;-0.399972536;;;
200.167;200.347;62.278;-0.266742208;-0.489994639;-0.481270558;-0.442746651;;;
200.168;200.348;62.279;-0.70806098;-0.728754098;-0.614059974;-0.786685453;;;
;200.3485;62.28;-1.386035441;-1.445065192;-0.525884312;-1.364136006;;;
200.169;200.349;62.281;-2.064009893;-2.161376314;-0.437708649;-1.941586558;;;
200.17;200.35;62.282;-1.907358067;-2.630113928;-0.285267634;-2.760405331;;;
200.171;200.351;62.283;-1.578169964;-1.520590882;-0.305534948;-1.242360719;;;
200.172;200.352;62.284;-1.51691422;-1.913691392;-0.814578153;-1.750412452;;;
200.173;200.353;62.285;0.773576303;-0.036512886;0.49499847;0.534947406;;;
200.174;200.354;62.286;0.892150244;0.259901646;0.105506787;0.840476799;;;
200.175;200.355;62.287;0.780511767;0.953387957;0.360054049;0.967053262;;;
200.177;200.357;62.288;0.924142833;0.838300582;0.89367458;1.155608544;;;
200.178;200.358;62.289;1.24299487;0.817815265;-0.021433324;0.821272094;;;
200.179;200.359;62.29;2.009027255;1.54402826;-0.087930653;1.566763813;;;
;200.3595;62.291;1.642298193;1.624481969;0.48655803;1.540139109;;;
200.18;200.36;62.292;1.275569139;1.70493565;1.061046712;1.513514405;;;
200.181;200.361;62.293;0.191579621;0.458778293;0.547026471;0.292269774;;;
200.182;200.362;62.294;1.09086227;0.512265557;0.778638305;0.043481554;;;
200.183;200.363;62.295;0.883827694;0.513065029;1.77260917;0.345519183;;;
200.184;200.364;62.296;2.045091632;0.925104318;2.123156813;1.00458973;;;
